skillsCount,projectsCount,internshipCount,certificationCount,metricsCount,githubPresent,linkedinPresent,awsPresent,dockerPresent,redisPresent,score
9,2,2,3,8,0,0,1,1,1,89
9,0,0,2,10,1,1,1,0,1,64
8,2,0,1,1,1,0,1,1,0,42
5,4,0,1,7,0,1,1,0,0,59
3,1,2,4,0,1,1,0,1,1,51
1,2,2,0,10,0,0,0,1,1,69
6,3,2,4,10,0,1,0,0,0,87
10,1,2,4,6,0,1,1,1,1,84
13,4,2,1,10,0,0,0,1,0,100
2,3,0,2,5,0,1,0,1,0,44
2,3,2,5,4,0,1,1,1,1,74
4,1,2,0,5,0,1,1,0,1,57
18,1,1,4,3,0,0,1,0,1,75
7,4,2,0,5,0,0,1,0,0,73
2,5,1,4,3,0,0,0,0,0,56
15,4,0,2,3,1,1,0,1,1,75
11,2,2,0,7,1,0,0,0,1,79
5,2,1,2,8,0,0,0,0,1,61
6,1,0,2,0,0,1,1,1,0,31
12,2,1,0,0,0,0,1,0,0,48
14,1,2,2,4,1,1,1,0,1,81
14,0,1,5,6,0,1,1,1,1,79
9,5,0,3,5,1,0,0,1,1,74
8,2,0,0,7,0,1,1,1,1,60
14,5,2,4,8,0,1,1,0,1,100
11,5,2,0,0,1,0,1,1,0,78
16,5,1,3,3,0,1,1,1,1,95
1,1,0,0,8,0,1,0,0,1,36
7,1,1,1,9,1,0,1,1,0,69
12,0,2,4,2,0,1,0,1,0,64
7,0,1,3,7,1,1,1,1,1,67
15,2,2,2,3,1,1,1,1,1,89
3,0,1,5,10,1,1,1,0,1,68
13,0,0,2,9,0,0,1,1,0,65
8,4,2,4,6,1,0,1,1,1,96
18,2,1,4,7,0,0,0,1,1,92
19,2,0,4,5,0,0,0,0,1,74
17,5,0,1,7,1,0,1,1,1,96
20,3,1,0,2,1,0,1,1,0,82
2,3,1,1,3,1,0,1,0,0,47
12,2,0,1,7,0,0,0,0,1,60
8,3,1,1,1,0,0,0,1,0,50
9,5,1,3,7,0,0,1,1,0,88
6,0,2,0,8,1,1,0,0,0,61
1,3,0,2,9,0,1,1,1,1,61
10,3,1,0,0,0,1,1,0,1,54
1,0,1,3,8,0,0,0,0,1,45
5,0,0,3,7,1,0,0,1,1,47
20,1,1,1,8,0,0,1,1,0,89
1,2,1,4,4,0,0,0,0,0,42
14,3,1,3,4,1,1,0,0,1,79
2,0,1,4,8,0,0,1,0,0,50
18,3,1,3,6,1,1,0,1,1,97
18,1,2,1,4,0,0,1,0,1,82
6,4,2,5,1,0,0,0,1,0,69
10,5,1,1,0,1,1,0,1,0,66
12,2,0,5,3,0,0,0,0,1,56
14,4,0,0,9,1,1,1,1,1,91
6,0,0,0,8,1,0,0,0,0,39
9,2,1,4,5,1,1,1,0,1,73
2,1,0,0,6,0,0,0,0,1,30
7,0,0,0,9,0,0,0,0,1,44
1,0,0,2,5,1,0,0,1,1,31
14,1,1,5,8,0,0,1,1,1,88
2,5,0,4,9,0,1,0,1,1,73
5,3,2,2,6,1,1,1,1,0,80
11,4,0,2,6,1,0,0,1,0,71
4,2,2,3,4,0,1,0,1,1,65
4,4,1,2,2,1,1,1,1,1,64
18,1,0,4,3,1,0,1,0,0,65
12,1,2,4,6,0,1,0,1,0,81
10,3,1,5,0,1,1,0,1,0,64
13,5,1,4,5,1,0,1,0,0,91
10,1,0,4,9,1,1,1,0,1,72
5,3,1,2,3,1,0,1,0,1,58
19,3,1,0,6,1,0,0,0,0,84
12,1,0,4,0,1,1,0,0,0,42
7,2,1,0,8,1,0,1,1,0,69
7,4,1,2,9,1,0,0,0,0,78
11,3,1,2,3,1,1,1,1,0,73
13,5,0,0,3,0,0,1,0,0,64
6,0,2,3,0,1,1,1,0,1,50
8,5,1,2,5,1,0,1,0,1,80
6,1,2,3,1,1,0,0,1,0,53
20,5,1,3,4,0,0,0,0,0,93
16,1,1,5,8,0,1,1,0,1,90
12,3,2,5,6,1,0,1,1,0,98
20,3,0,0,4,1,1,1,1,1,83
7,0,0,3,5,1,1,0,1,1,47
1,1,0,1,8,0,1,0,0,0,35
1,2,2,3,6,1,1,1,0,1,68
3,5,2,5,4,1,1,1,0,0,82
10,5,1,4,2,1,1,1,1,1,85
6,2,2,3,8,0,0,0,1,0,76
2,2,1,5,3,1,1,1,0,1,55
1,3,2,5,0,1,1,1,1,0,60
20,2,2,0,5,0,0,0,1,1,92
2,3,0,3,3,1,0,1,0,1,44
11,5,1,3,6,0,0,0,0,0,81
2,1,0,1,10,1,0,0,1,0,48
9,2,0,2,4,0,1,1,1,0,54
7,3,0,3,3,0,1,0,0,0,46
20,4,1,1,4,1,0,1,1,0,95
3,2,1,5,6,0,0,1,0,1,61
2,5,2,4,5,1,0,0,1,0,79
7,4,0,4,4,1,1,0,0,0,59
18,4,0,3,0,0,0,1,0,0,66
20,4,1,5,3,1,1,1,1,1,100
8,2,0,4,3,0,1,1,0,1,52
13,0,0,0,7,0,0,0,1,1,54
16,4,0,1,1,1,1,1,1,0,70
11,1,2,5,7,0,0,0,1,0,82
13,2,0,3,0,0,0,1,0,1,49
11,0,0,2,7,0,1,0,0,1,52
8,1,2,5,3,0,1,0,0,0,62
19,3,2,2,9,0,0,1,1,1,100
8,1,1,3,0,0,1,1,1,0,47
9,1,2,1,2,0,1,1,1,1,64
9,0,0,1,6,1,0,1,1,0,49
4,3,2,1,5,0,0,1,0,1,67
2,2,1,0,7,1,0,0,0,1,51
14,3,1,0,1,1,1,1,1,0,69
12,2,1,0,7,0,0,1,1,1,76
7,0,0,1,4,0,1,0,1,1,37
14,5,2,3,10,1,1,1,0,0,100
13,1,1,4,4,0,1,0,1,0,67
15,2,2,3,5,0,0,0,0,1,84
3,5,2,4,6,1,0,0,1,0,84
15,1,1,0,4,0,0,1,1,0,65
10,1,2,0,9,0,1,1,0,0,78
2,0,0,0,3,1,1,1,1,1,29
12,0,1,5,8,1,0,0,1,0,75
16,2,2,5,7,0,0,1,1,0,100
4,3,1,5,2,1,0,1,0,1,59
8,4,1,5,3,1,0,0,1,0,72
7,3,0,5,2,1,0,1,1,0,56
20,3,1,1,1,0,0,1,1,0,78
17,5,2,5,7,0,1,1,1,1,100
4,2,0,3,6,0,0,0,1,0,46
20,0,2,3,10,0,0,0,1,1,100
13,0,0,5,3,1,1,0,0,0,50
6,5,2,0,9,1,0,0,1,0,91
10,1,2,4,10,0,1,1,1,0,93
6,0,2,4,2,0,0,1,0,1,53
19,4,0,4,3,0,0,1,1,0,83
4,5,1,3,6,0,1,0,0,1,72
4,5,0,5,8,0,1,1,0,1,76
12,1,1,5,6,0,0,1,1,1,78
10,5,2,1,8,0,1,1,0,0,97
4,2,1,1,10,0,0,1,1,0,68
7,5,2,1,7,0,1,1,0,1,91
7,4,1,1,7,1,1,0,0,1,75
18,4,2,1,4,1,0,0,0,0,93
12,0,0,0,0,1,0,1,0,1,34
7,5,2,0,0,1,0,0,1,1,69
11,0,2,5,0,0,1,1,1,1,65
2,0,1,4,4,1,1,1,0,1,46
10,1,2,4,6,1,1,1,0,1,83
6,3,2,1,2,1,0,0,0,1,61
7,4,1,3,3,1,0,1,1,0,70
15,5,1,2,8,1,1,1,1,0,100
2,0,1,2,7,1,0,1,1,0,50
6,3,2,0,10,1,0,0,0,0,80
11,3,1,3,8,1,0,0,1,0,84
9,5,1,1,3,1,1,1,0,1,76
3,4,2,2,1,0,1,1,0,1,62
1,4,2,4,3,1,1,1,1,0,72
9,3,2,5,6,1,0,0,0,0,84
13,1,1,1,10,0,1,0,0,0,75
3,0,0,3,1,1,1,1,0,0,24
9,3,1,1,5,0,1,1,0,0,66
2,3,0,4,7,1,1,0,1,1,60
16,4,1,5,0,0,0,1,1,0,80
19,1,1,2,8,0,1,1,1,0,91
5,3,2,5,10,0,0,1,0,1,92
2,1,2,3,6,1,0,1,1,0,64
8,2,1,0,5,0,0,0,0,0,51
14,3,1,3,0,0,0,0,1,0,63
15,1,2,0,5,0,0,0,0,0,70
2,5,1,5,3,0,1,1,0,0,64
14,2,0,0,7,1,1,1,1,0,72
16,0,2,5,2,0,1,0,0,1,73
20,4,2,5,8,0,1,0,0,1,100
19,3,1,5,4,0,1,1,0,1,94
9,0,0,5,10,0,0,0,0,1,61
9,3,2,3,7,1,0,0,1,1,90
9,4,1,0,2,0,1,1,1,0,64
5,3,0,2,0,0,0,0,0,0,29
4,2,0,1,7,1,0,1,0,0,48
15,3,1,3,8,0,1,1,0,1,94
8,4,2,5,3,0,0,0,1,0,79
7,3,1,3,2,1,1,1,1,1,67
9,0,2,5,5,1,0,1,0,0,70
12,5,1,2,7,0,1,1,0,0,90
13,0,2,5,2,1,0,1,1,0,73
13,4,1,0,0,1,1,0,1,1,68
1,1,2,4,4,0,1,1,1,0,57
9,0,0,0,8,0,1,0,0,0,44
7,0,2,4,10,1,0,0,0,0,75
14,4,0,3,2,1,1,1,0,0,69
13,3,0,0,9,0,1,1,0,1,77
14,5,0,0,3,1,1,1,1,1,78
1,3,1,4,2,0,1,1,1,0,51
1,3,1,2,8,0,1,0,0,0,57
10,1,2,2,9,1,1,0,1,0,85
7,3,2,3,5,0,0,1,0,1,77
3,5,1,0,8,1,1,0,0,0,70
13,1,0,4,0,0,0,0,0,1,42
6,3,0,5,10,1,1,0,0,0,72
9,4,1,1,1,1,0,0,1,1,63
15,0,2,2,9,0,0,1,1,1,92
1,1,0,3,4,1,0,0,0,1,31
19,4,1,3,1,1,0,0,0,0,80
11,0,0,5,4,1,1,1,1,1,60
12,5,0,3,0,0,1,0,1,1,64
3,2,0,3,9,0,1,1,0,1,58
10,2,1,5,10,0,0,0,1,1,87
5,1,0,4,9,1,0,0,0,1,56
4,1,0,0,10,0,1,1,0,0,49
16,5,0,4,8,0,0,1,0,1,96
19,2,1,1,2,1,0,0,1,0,73
12,4,2,3,2,0,1,0,1,0,82
3,4,2,1,10,1,0,0,0,0,81
18,5,0,1,2,0,0,0,1,1,76
5,0,0,3,5,0,0,1,0,0,35
2,2,1,4,5,0,1,0,0,1,52
5,0,0,5,9,1,1,0,0,0,52
16,3,1,1,3,1,0,0,1,1,78
15,2,2,0,2,1,0,0,0,1,72
18,3,2,3,6,0,0,1,0,0,99
8,3,0,0,0,0,0,1,1,0,39
6,2,2,4,6,1,1,1,1,0,81
11,2,1,1,9,1,1,0,1,1,83
2,0,2,5,8,1,0,0,0,1,64
8,1,0,5,6,0,0,1,0,0,53
1,4,0,4,8,0,0,1,0,1,61
8,0,1,5,3,1,0,1,0,0,52
8,2,1,3,1,0,0,0,0,1,48
16,1,0,1,9,1,1,1,1,1,82
2,1,0,3,1,0,0,1,0,1,25
7,4,2,0,0,0,1,0,0,0,56
19,4,2,0,8,1,0,0,0,0,100
10,1,1,3,3,1,1,1,1,1,66
14,3,0,5,3,0,0,0,1,1,69
12,5,1,1,7,1,0,0,0,1,88
17,0,2,0,9,0,1,1,1,1,94
6,0,2,1,7,0,1,0,1,0,61
11,0,0,2,2,0,0,1,1,1,43
4,1,2,2,2,0,1,1,1,1,56
19,4,0,1,6,1,0,0,1,0,85
10,4,0,2,4,0,1,1,0,0,62
4,0,1,0,4,1,0,0,1,0,37
10,0,0,5,6,1,1,0,0,0,53
16,1,1,2,8,1,0,0,0,1,81
5,4,2,1,8,0,1,0,1,1,85
1,3,0,4,1,0,1,1,0,1,37
18,2,1,3,4,1,1,1,1,0,87
4,4,2,2,8,0,1,1,1,0,86
12,4,1,5,4,1,1,1,1,0,89
4,5,1,2,8,0,0,1,0,1,78
20,4,2,0,3,1,1,1,1,0,100
20,3,2,0,7,1,1,1,0,1,100
10,2,2,5,8,1,0,1,0,1,94
1,1,2,3,8,1,1,1,1,0,70
4,4,2,3,2,0,1,0,1,0,66
8,4,1,2,3,1,0,0,0,0,62
2,1,0,3,6,1,1,1,1,1,49
9,4,1,2,5,0,0,0,1,1,74
7,1,0,1,8,1,0,0,0,0,48
13,4,2,3,10,0,0,0,0,1,100
6,5,0,0,1,1,0,1,0,1,50
20,0,2,5,0,1,1,0,1,0,79
14,4,1,5,5,1,1,1,1,1,99
13,5,2,5,5,0,1,1,0,0,100
12,0,0,2,1,0,0,1,1,1,42
9,3,2,3,7,1,0,1,1,0,91
12,2,0,0,1,0,0,0,1,1,44
18,1,1,3,2,0,0,0,1,0,67
11,2,0,1,1,0,1,0,1,1,46
4,5,0,2,6,0,0,1,1,1,66
12,0,0,1,3,0,1,1,1,1,48
11,4,1,3,7,1,0,1,1,0,90
5,2,0,4,2,1,0,0,1,1,44
9,5,2,2,1,0,0,1,0,0,74
7,0,2,3,3,0,1,0,0,0,51
7,2,1,5,0,1,0,1,0,1,54
18,3,0,1,0,1,1,0,1,1,65
10,2,2,0,8,0,1,0,0,1,79
2,4,0,4,3,0,1,0,1,0,47
3,3,1,2,2,0,1,0,0,0,43
7,1,0,4,3,0,1,1,0,1,45
20,4,0,0,2,1,0,1,1,1,80
4,1,2,2,4,0,0,0,1,0,53
8,4,1,4,7,1,1,1,0,1,87
17,4,2,4,4,0,1,0,1,0,100
6,4,0,1,7,0,0,1,0,0,59
20,2,2,5,3,1,1,1,0,0,98
4,0,0,4,6,1,1,1,1,0,47
16,2,2,5,8,1,1,0,0,1,100
4,5,0,5,4,1,0,1,0,0,62
10,1,2,1,8,0,0,1,1,1,82
17,3,2,0,10,0,0,1,0,0,100
19,3,0,0,7,1,1,0,1,0,83
6,0,2,1,6,0,1,0,0,1,57
9,4,0,4,5,1,1,1,0,0,70
17,0,2,4,6,1,0,0,0,1,86
15,3,1,0,2,0,1,0,1,1,70
1,5,1,4,6,1,1,0,0,0,68
6,0,0,0,7,0,0,0,0,0,33
16,5,0,5,2,0,1,1,0,0,79
10,0,2,3,6,1,1,1,0,0,73
5,5,2,2,1,1,0,0,0,1,68
20,3,0,0,4,0,0,0,1,0,71
6,0,0,0,4,1,1,0,0,1,32
18,0,2,5,4,0,1,1,0,0,84
4,0,0,3,5,0,0,0,1,0,33
19,5,0,3,7,1,0,1,0,0,97
8,1,1,4,9,0,1,1,1,0,76
9,4,1,1,3,0,0,0,0,1,62
7,2,2,1,1,0,0,1,1,1,60
10,5,1,1,10,0,0,0,0,0,87
6,3,2,0,5,1,1,0,1,0,71
15,1,1,4,1,1,0,1,0,0,63
10,0,0,5,8,0,1,0,1,1,63
4,0,2,1,8,1,0,0,0,1,60
19,4,2,5,3,1,1,0,0,1,100
1,0,0,3,6,0,0,1,0,0,30
10,3,0,4,9,1,1,1,1,1,86
17,1,1,2,5,1,0,1,0,0,75
15,3,0,2,8,0,1,0,1,1,82
17,2,0,0,9,1,1,0,1,0,80
17,4,2,3,0,0,1,0,0,1,85
2,2,0,1,2,1,1,0,0,1,30
18,5,2,1,1,1,0,0,1,0,93
13,5,2,1,5,0,0,1,0,1,95
8,2,1,1,0,0,0,1,0,0,42
7,0,0,5,4,0,1,1,0,0,42
2,4,1,2,10,1,1,1,1,1,84
18,3,2,4,1,1,0,1,1,0,93
13,3,1,4,10,1,1,1,1,0,100
1,2,1,5,1,0,0,1,1,0,43
16,4,0,0,9,1,0,1,0,0,86
13,3,2,2,3,0,0,1,1,1,85
10,0,0,4,9,1,1,0,0,0,60
14,4,1,1,0,1,1,0,1,0,69
17,4,0,0,5,0,0,0,0,1,72
9,5,0,1,6,0,1,0,1,0,69
9,4,2,4,6,0,1,1,1,0,94
16,4,0,4,1,0,1,1,1,1,76
1,5,0,5,10,1,1,0,1,1,79
10,3,2,3,1,0,1,1,0,1,73
7,5,2,2,5,0,1,1,1,1,91
11,4,0,0,0,0,0,1,1,0,50
10,0,0,1,1,0,0,1,0,1,32
16,4,0,4,6,1,1,1,0,0,87
13,4,1,0,2,0,1,0,0,0,64
1,0,1,0,10,0,0,0,0,0,42
11,1,0,5,8,1,1,0,0,0,66
16,0,2,3,2,1,0,0,1,0,71
19,2,1,0,2,0,0,1,1,0,72
8,1,2,1,7,1,1,1,0,0,73
8,3,2,3,3,0,0,0,1,1,73
13,4,1,3,10,1,0,0,0,0,95
14,2,2,5,3,0,1,1,0,1,86
11,2,1,2,1,1,1,0,0,1,57
2,4,2,0,3,1,0,1,1,0,64
16,4,1,1,3,0,0,0,0,1,76
12,4,2,3,8,0,1,1,0,1,100
17,2,0,1,3,1,0,0,1,1,65
10,3,1,4,10,1,1,1,1,0,96
8,4,2,1,9,1,0,0,1,0,92
2,1,2,1,6,1,1,1,0,1,61
6,0,2,2,5,0,1,0,0,1,56
13,3,0,1,10,1,0,1,1,0,84
15,3,2,5,7,1,1,0,1,1,100
1,3,0,4,5,1,0,0,1,0,47
15,4,1,1,5,0,1,1,0,1,86
8,4,2,4,5,1,1,1,0,0,88
6,2,2,4,10,1,0,1,0,0,87
3,4,0,0,2,1,0,0,0,0,35
11,5,2,3,4,0,1,1,0,1,94
18,0,2,2,9,0,0,1,0,0,91
10,2,0,3,2,0,1,1,0,0,48
20,2,2,2,1,0,1,0,0,0,79
5,2,0,3,1,1,1,0,1,1,41
6,0,1,2,10,0,1,0,0,1,61
18,2,0,3,4,0,0,0,0,0,64
9,5,1,5,2,0,1,0,1,0,75
15,3,1,5,1,0,0,0,1,1,75
18,3,1,0,6,0,0,0,1,1,86
20,5,1,2,7,1,1,0,0,1,100
5,0,1,1,3,1,1,0,1,1,43
8,2,1,3,7,0,1,1,1,0,73
20,3,2,5,10,0,1,0,0,0,100
16,2,0,0,2,0,1,0,1,0,54
15,0,2,4,3,1,0,0,0,1,73
17,0,1,5,2,1,0,1,1,0,71
12,1,1,2,3,1,1,1,1,1,68
20,4,2,4,8,1,1,1,1,1,100
8,2,1,4,7,1,1,0,1,0,74
4,4,0,3,4,1,1,1,0,1,58
6,5,1,2,4,1,1,1,1,1,79
14,2,1,0,0,0,0,0,1,0,52
10,4,1,0,5,0,0,1,1,0,73
12,0,2,1,6,0,0,0,1,0,68
8,3,1,2,4,1,0,1,0,0,64
12,3,1,2,6,0,0,1,1,1,82
7,3,2,0,7,0,0,0,0,0,70
6,2,0,0,9,1,0,1,1,1,63
7,0,0,2,5,0,1,1,1,0,43
3,3,2,4,5,1,1,1,1,0,77
6,5,0,5,2,1,0,1,0,1,63
17,2,2,4,4,1,1,0,0,0,89
20,5,0,4,9,1,0,1,1,0,100
17,5,0,0,0,1,1,1,1,0,72
13,5,2,1,10,0,0,0,0,1,100
16,1,1,1,0,1,0,0,1,1,59
14,5,1,4,10,0,1,0,1,0,100
17,2,2,0,3,1,1,0,0,0,78
20,5,0,0,3,0,1,0,0,1,79
3,2,1,0,0,0,1,0,0,1,31
8,2,1,3,0,0,1,1,1,0,52
11,2,2,0,0,1,1,0,0,0,57
8,5,1,1,5,0,0,1,0,1,75
8,0,0,2,2,0,1,0,0,0,28
2,2,2,3,10,0,1,0,1,1,79
2,5,2,4,2,1,1,1,1,0,76
11,3,1,4,3,1,1,0,0,1,72
14,2,1,3,2,1,1,1,0,1,72
1,1,1,0,7,1,1,1,1,1,54
12,2,0,3,7,0,1,0,0,0,63
2,2,1,5,5,1,0,1,1,1,63
8,1,2,2,7,0,0,1,0,1,73
17,2,0,4,9,0,1,0,0,1,84
20,3,2,3,6,1,0,1,0,1,100
2,5,2,1,4,0,1,0,1,1,72
1,3,1,4,9,1,1,1,0,1,74
5,5,0,2,6,1,0,1,0,1,67
3,5,2,2,7,1,1,0,1,0,85
8,2,0,4,9,0,0,0,0,1,64
13,5,0,4,8,0,1,1,0,1,92
19,5,2,3,6,1,0,0,1,0,100
9,1,0,1,6,0,1,0,1,0,49
8,4,2,0,0,0,0,1,1,1,67
15,0,1,5,2,0,1,1,1,0,66
